Tenure,WarehouseToHome,HourSpendOnApp,NumberOfDeviceRegistered,SatisfactionScore,NumberOfAddress,OrderAmountHikeFromlastYear,CouponUsed,OrderCount,DaySinceLastOrder,CashbackAmount,rfm_total,device_per_tenure,cashback_per_order,inactivity_ratio,PreferredLoginDevice_Mobile,CityTier_2,CityTier_3,PreferredPaymentMode_Credit Card,PreferredPaymentMode_Debit Card,PreferredPaymentMode_E wallet,PreferredPaymentMode_UPI,Gender_Male,PreferedOrderCat_Grocery,PreferedOrderCat_Laptop & Accessory,PreferedOrderCat_Mobile,PreferedOrderCat_Mobile Phone,PreferedOrderCat_Others,MaritalStatus_Married,MaritalStatus_Single,Complain_1,rfm_segment_Champions,rfm_segment_Hibernating,rfm_segment_Loyal,rfm_segment_Recent Customers,dist_to_cluster_0,dist_to_cluster_1,dist_to_cluster_2,dist_to_cluster_3
0.14754098360655737,0.09016393442622951,0.4,0.4000000000000001,0.0,0.047619047619047616,0.20000000000000007,0.5,0.5333333333333333,0.15217391304347827,0.6147881473276101,0.6666666666666666,0.05629921259842519,0.07663981588032222,0.015217391304347825,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.8603405814703193,2.3907771601507934,2.3911465054167262,2.407186343708
0.09836065573770492,0.06557377049180328,0.2,0.4000000000000001,0.75,0.0,0.4,0.0,0.0,0.043478260869565216,0.44007507923320716,0.33333333333333326,0.08211473565804275,0.2742999616417338,0.006211180124223602,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.3387366138881385,2.1348147209290556,2.2687237353615033,1.817851841301562
0.13114754098360656,0.0819672131147541,0.6000000000000001,0.6000000000000001,0.75,0.42857142857142855,0.5333333333333333,0.0,0.0,0.0,0.50893873657651,0.5833333333333333,0.08530183727034121,0.317222861526659,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.2196715061493184,1.9782939259125483,2.096858486568983,1.6267052401783721
0.24590163934426232,0.04918032786885246,0.6000000000000001,0.4000000000000001,0.75,0.42857142857142855,0.5333333333333333,0.4375,0.4,0.15217391304347827,0.56758669497523,0.6666666666666666,0.033710629921259845,0.0884445723053318,0.009510869565217392,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.73250167041977,2.3050597476212475,2.300350311249615,2.305545394861794
0.19672131147540983,0.06557377049180328,0.8,0.8,0.5,0.14285714285714285,0.06666666666666676,0.1875,0.4666666666666667,0.17391304347826086,0.5483553340102773,0.6666666666666666,0.07328891580860086,0.07595362911818608,0.013377926421404682,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.6239549697173181,1.986709293424954,2.170025732354489,2.226045149502955
0.39344262295081966,0.032786885245901634,0.4,0.4000000000000001,0.5,0.09523809523809523,0.0,0.125,0.06666666666666667,0.15217391304347824,0.7112834241053572,0.9166666666666665,0.02015748031496063,0.2955632272087969,0.0098084748834374,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.2592680929547888,2.03616416646537,2.012020759841789,2.032694253867212
0.01639344262295082,0.14754098360655737,0.6000000000000001,0.4000000000000001,1.0,0.047619047619047616,0.06666666666666676,0.0,0.0,0.17391304347826086,0.44795224468445183,0.08333333333333331,0.297244094488189,0.2792098197161489,0.08695652173913043,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.2727920564553123,2.0212621936336905,1.5635085771863968,2.1455116224007953
0.14754098360655737,0.016393442622950817,0.8,0.6000000000000001,0.5,0.09523809523809523,0.4,0.0625,0.06666666666666667,0.08695652173913043,0.5341395119849841,0.5833333333333333,0.07637795275590553,0.22195371435877767,0.008695652173913044,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.308871799369865,1.5998465432968272,2.2752762662626744,2.3147453011560293
0.24590163934426232,0.02459016393442623,0.6000000000000001,0.0,1.0,0.3333333333333333,0.33333333333333337,0.0,0.0,0.06521739130434782,0.5006923289947383,0.41666666666666663,0.00861220472440945,0.3120828538550058,0.004076086956521739,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.551389775736505,2.3529726391765124,1.9997660497861782,2.4747430308901013
0.18032786885245902,0.02459016393442623,0.4,0.4000000000000001,0.0,0.23809523809523808,0.0,0.0,0.0,0.043478260869565216,0.4290593556724822,0.25,0.04625984251968504,0.267433831990794,0.003623188405797101,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.511950604285185,2.375359082294783,2.182817306994322,1.80986300333696
