y_true,churn_probability,churn_prediction,risk_tier,cluster,Tenure,PreferredLoginDevice,CityTier,WarehouseToHome,PreferredPaymentMode,Gender,HourSpendOnApp,NumberOfDeviceRegistered,PreferedOrderCat,SatisfactionScore,MaritalStatus,NumberOfAddress,Complain,OrderAmountHikeFromlastYear,CouponUsed,OrderCount,DaySinceLastOrder,CashbackAmount,rfm_total,rfm_segment,device_per_tenure,cashback_per_order,inactivity_ratio
0,0.0,0,Low Risk,1,17.0,Computer,3,9.0,Debit Card,Male,4.0,4,Laptop & Accessory,1,Married,3,0,21.0,6.0,8.0,8.0,181.75,11,Champions,0.2222222222222222,20.194444444444443,0.4444444444444444
0,0.0,0,Low Risk,3,26.0,Mobile,3,13.0,E wallet,Female,3.0,4,Fashion,1,Married,8,1,18.0,0.0,1.0,,209.34,12,Recent Customers,0.1481481481481481,104.67,
0,0.0,0,Low Risk,2,5.0,Mobile,1,15.0,Debit Card,Female,4.0,4,Laptop & Accessory,1,Single,3,0,24.0,2.0,2.0,9.0,169.24,7,Loyal,0.6666666666666666,56.41333333333333,1.5
0,0.0,0,Low Risk,2,25.0,Mobile,1,8.0,Debit Card,Female,2.0,4,Mobile,2,Single,8,0,15.0,0.0,2.0,2.0,132.12,7,Recent Customers,0.1538461538461538,44.04,0.0769230769230769
0,0.0,0,Low Risk,3,4.0,Computer,3,8.0,Debit Card,Female,2.0,3,Fashion,3,Married,2,1,19.0,8.0,9.0,6.0,198.52,11,Champions,0.6,19.852,1.2
0,0.0,0,Low Risk,1,24.0,Mobile,3,7.0,Credit Card,Female,4.0,4,Others,1,Married,5,0,,2.0,2.0,7.0,320.17,11,Champions,0.16,106.72333333333334,0.28
0,0.0,0,Low Risk,1,12.0,Computer,3,9.0,Debit Card,Male,3.0,5,Laptop & Accessory,2,Divorced,5,0,19.0,7.0,8.0,6.0,177.49,11,Champions,0.3846153846153846,19.721111111111117,0.4615384615384615
0,0.0,0,Low Risk,2,19.0,Mobile,1,7.0,Credit Card,Female,4.0,4,Mobile Phone,2,Married,5,0,15.0,1.0,2.0,3.0,147.7,7,Hibernating,0.2,49.23333333333333,0.15
0,0.0,0,Low Risk,0,5.0,Mobile,1,18.0,Credit Card,Male,4.0,4,Laptop & Accessory,5,Divorced,3,1,13.0,1.0,2.0,2.0,193.33,11,Loyal,0.6666666666666666,64.44333333333334,0.3333333333333333
0,0.0,0,Low Risk,0,20.0,Mobile,1,8.0,UPI,Female,2.0,3,Grocery,2,Divorced,2,1,11.0,,3.0,0.0,267.52,14,Champions,0.1428571428571428,66.88,0.0
